patient_id,first_name,last_name,date_of_birth,age,gender,ssn,phone_number,email,address,city,state,zip_code,admission_date,discharge_date,length_of_stay_days,admission_type,department,attending_physician,primary_diagnosis,secondary_diagnosis,medication_1,medication_2,height_cm,weight_kg,bmi,blood_pressure,heart_rate_bpm,temperature_celsius,oxygen_saturation_pct,blood_glucose_mgdl,creatinine_mgdl,hba1c_pct,insurance_provider,insurance_claim_amount_usd,icu_days,readmission_30day_flag,smoker,alcohol_use,discharge_disposition
18311,George,Thomas,1950-02-18,74,,360-51-9372,296-610-6446,george.thomas90@gmail.com,4562 Pine Dr,Tucson,VA,31702,2024-07-30,2024-08-28,29,Transfer,ICU,Dr. Jones,Heart Failure,,Amoxicillin,,194.4,99.4,26.3,116/105,79,38.9,N/A,,1.9,6.2,Cigna,59397.73,2,0,1,N/A,AMA
39684,  Donna  ,Nelson,1996-03-19,26,,922-94-1807,000-000-0000,donna.nelson93@aol.com,7828 Elm Ave,New York,PA,990XX,2022-03-23,2022-04-01,9,Elective,Surgery,Dr. Carter,Epilepsy,Epilepsy,Lisinopril,,176.2,,33.6,129/92,89,-999,93,244,4.91 ,12.8,Aetna,36199.74,0,0,0,Heavy,Deceased
59157,Anthony,Brown,,34,F,415-50-4616,396-718-1473,anthony.brown55@yahoo.com,6055 Pine Way,Louisville,OK,41787,2024-11-17,2024-12-01,14,Transfer,Emergency,Dr. Anderson,Rheumatoid Arthritis,Heart Failure,Metoprolol,Levothyroxine,161.8,46.2,17.6,129/80,96,37.8,96,N/A,4.78 ,11.0,BLUECROSS BLUESHIELD,9659.69,5,0,Yes,None,Deceased
58825,Matthew,Brown,1962/07/15,61,M,466-66-1223,479-656-3210,matthew.brown92@outlook.com,6964 Oak Ave,San Antonio,OK,44487,2023-12-25,2024-01-20,26,Urgent,ICU,Dr. Thompson,Alzheimer's Disease,,Metoprolol,,194.1,-999,12.3,156/85,113,36.5,89,158,4.83,,Cigna,62642.63,4,0,,N/A,Discharged to SNF
66260,Richard,jones,1981-11-30,39,M,882-36-4979,880-500-3725,richard.jones63@yahoo.com,9095 Lake Dr,Milwaukee,OH,14024,2021-10-18,2021-11-11,24,Transfer,Orthopedics,Dr. Williams,Migraine,,Atorvastatin,Furosemide,158.7,124.4,49.4,126/109,,38.5,89,300,N/A,,Anthem,5635.76,5,0,no,Moderate,AMA
67742,Thomas,Nelson,02/15/1978,43,F,873-95-6251,,thomas.nelson19@aol.com,4186 Lake Rd,Seattle,IN,69833,2021-11-15,2021-11-21,6,Transfer,Pediatrics,Dr. Lee,Rheumatoid Arthritis,UTI,Prednisone,,169.2,115.2,40.2,158/83,110 bpm,-999,99,124,0.62,10.2,Anthem,66106.75,4,1,1,,Home
41230,Andrew,Wilson,1997-12-17,26,M,808-76-7323,672-644-7216,andrew.wilson15@gmail.com,9780 Lake Way,Baltimore,IN,13906,2024-03-01,2024-02-28,-2,Emergency,Cardiology,Dr. Campbell,Migraine,Rheumatoid Arthritis,Amlodipine,,173.2,49.2,-999,117/70,55,36.1,91,159,N/A,,Humana,16500.15,0,0,yes,,Transferred
12215,Lisa,mitchell,1940-04-24,81,F,188-21-4683,488-201-8323,lisa.mitchell70@hotmail.com,9691 Pine Way,Oklahoma City,WA,23182,2022-02-24,2022-03-23,27,Transfer,ICU,Dr. Wright,Sepsis,Stroke,Amoxicillin,,N/A,46.7,19.8,145/87,99,,,271,7.37,6.7,Medicaid,35963.84,4,0,,,Discharged to SNF
84625,William,Ramirez,1961-03-28,,male,902-69-6918,543-722-6150,william.ramirez16@outlook.com,1479 Maple Dr,Austin,MA,,2019-06-03,2019-06-04,1,Elective,Pediatrics,Dr. Lopez,Depression,COPD,Atorvastatin,,193.4,89.4,23.9,84/113,,36.0,97,,7.51,-999,Aetna,51922.62,0,0,Former,Occasional,AMA
00075135,Joseph,RIVERA,,12,F,386-10-1957,291-697-9522,joseph.rivera84@aol.com,4290 Park Ave,Portland,PA,33955,2018-07-23,2018-07-26,3,Transfer,Cardiology,Dr. Garcia,Asthma,,Warfarin,,192.8,,22.6,107/77,110,38.0,96,-999,,12.0,Medicare,6069.49,2,0,No,,Rehab Facility
PT-87810,  Carol  ,Garcia,1983-05-30,37,F,583-24-7773,950-290-9432,carol.garcia19@outlook.com,8822 Oak Ave,Austin,KY,36500,2020-11-16,2020-12-15,29,Routine,Oncology,Dr. Jones,Parkinson's Disease,Asthma,Lisinopril,,164.7,,25.8,108/96,102,38.3,94,246,1.49,6.3,Kaiser Permanente,65960.73,0,0,1,Moderate,Discharged to SNF
49265,Kenneth,Martin,1955-11-13,65,F,310-82-3994,946-209-1557,kenneth.martin70@hotmail.com,8084 Pine Rd,New York,FL,52539,2021-07-26,2021-08-21,26,Emergency,Cardiology,Dr. Martinez,Hypertension,Sepsis,Amlodipine,Amlodipine,174.3,73.1,24.1,146/77,100,38.5,93,110,3.23,7.6,Medicare,66317.83,0,0,Y,Moderate,Deceased
00084172,Lisa,Wilson,1977-06-21,41,M,964268597,809-763-1811,lisa.wilson46@aol.com,460 Cedar Rd,El Paso,VA,98351,2018-07-27,2018-07-30,3,Emergency,Pediatrics,Dr. Thompson,Parkinson's Disease,Type 2 Diabetes,Metformin,Sertraline,165.6,112.8,41.1,165/76,-1,36.2,95,121,6.24,10.3,BlueCross BlueShield,17675.76,1,0,Former,None,Home
29203,,Adams,NULL,N/A,M,811-97-3053,9334234175,NA,6144 Cedar St,Portland,MD,50207,2023-06-18,2023-07-07,19,Emergency,General Medicine,Dr. Wilson,Hypertension,Anemia,Hydrochlorothiazide,Metoprolol,169.3,-999,42.8,97/64,106,,99,,,8.5,BlueCross BlueShield,18918.14,2,0,N,Moderate,Home
98705,Thomas,thomas,1988-07-14,N/A,M,669-79-8391,,thomas.thomas12@yahoo.com,6939 Pine Ave,Nashville,AL,877XX,2024-03-26,2024-04-25,30,Elective,Pediatrics,Dr. Robinson,Rheumatoid Arthritis,,Albuterol,,190.6,52.5,14.5 ,118/110,50,38.7,,241,6.16,-999,United Health,39164.93,1,0,1,None,Home
74072,  Margaret  ,Wilson,11/29/1978,40,F,***-**-4872,690-747-4538,margaret.wilson9aol.com,8332 Hill Dr,Philadelphia,WI,,2019-03-12,2019-04-06,25,Routine,Cardiology,Dr. Brown,COPD,Obesity,Levothyroxine,Sertraline,174.8,107.1,35.1,162/107,110,38.8,94,,0.83,4.5,Anthem,12169.63,0,0,Former,,Discharged to SNF
35727,Patricia,Moore,2005-12-02,,M,148-62-5152,6054011047,patricia.moore88@gmail.com,9747 Cedar Way,Louisville,SC,55145,2018-02-23,2018-02-21,-2,Emergency,Oncology,Dr. Hill,Anemia,Osteoarthritis,Hydrochlorothiazide,Amlodipine,155.9,105.9,43.6,,81,36.8,100,136,4.28,7.8,UNKNOWN,19448.7,0,1,No,Heavy,Rehab Facility
20637,Betty,scott,1983-09-05,34,Unknown,695-46-5173,507-871-1592,betty.scott57@outlook.com,5017 Hill Way,Boston,OH,61316,2018-02-27,2018-03-16,17,Elective,Oncology,Dr. Ramirez,Atrial Fibrillation,UTI,Warfarin,,168.8,127.4 kg,44.7,95/84,100,36.3,96,271,3.22,4.5,Medicaid,14634.72,2,1,No,None,AMA
91628,Michelle,Harris,1967-11-30,51,F,307-14-4946,279-280-6993,michelle.harris86@aol.com,6126 Pine Blvd,Los Angeles,WA,75471,2018-12-13,2019-01-04,22,Urgent,Emergency,Dr. Gonzalez,Anemia,Rheumatoid Arthritis,Prednisone,Aspirin,175.2,113.4,-999,126/89,73,,93,,2.27,6.2,Medicaid,50086.84,2,0,Y,Occasional,Rehab Facility
50153,Nancy,Torres,10/21/1975,48,F,933-46-1862,(883) 471-9920,NANCY.TORRES75@YAHOO.COM,2580 Washington Way,Albuquerque,KY,42481,2024-09-06,2024-09-11,5,Routine,Neurology,Dr. Baker,Chronic Kidney Disease,Anxiety Disorder,Sertraline,,188.0,N/A,17.1,120/60,85 bpm,37.5,99,130,2.49,7.5,Centene,35368.86,0,0,Yes,None,Discharged to SNF
70378,richard,Adams,2000-11-21,22,M,***-**-4085,3996791055,richard.adams15@hotmail.com,765 Elm Way,Baltimore,CO,18119,2023-08-03,2023-08-05,2,Emergency,General Medicine,Dr. Baker,Heart Failure,Pneumonia,Atorvastatin,,192.0,-999,27.8,142/110,68,37.8,N/A,137,4.83,7.6,Anthem,56125.11,1,0,Former,N/A,Discharged to SNF
91583,Joshua,ADAMS,NULL,44,M,***-**-8253,432-916-4114,JOSHUA.ADAMS67@AOL.COM,4708 Elm Way,Los Angeles,PA,89681,2019-12-22,2020-01-21,30,Emergency,ICU,Dr. Garcia,Coronary Artery Disease,Hyperlipidemia,Furosemide,,178.4,N/A,27.1,106/106,N/A,39.4,98,179,7.32,5.3,Medicaid,7860.59,1,0,Yes,,AMA
92853,thomas,WRIGHT,1984-03-24,38,F,749-23-5784,4593576670,thomas.wright72@aol.com,3017 Maple Rd,Baltimore,SC,30222,2022-11-16,2022-12-16,30,Elective,General Medicine,Dr. Thomas,Osteoarthritis,Rheumatoid Arthritis,Metoprolol,Amoxicillin,171.5,72.6,-999,106/69,-999,39.9,,152,7.4 ,8.6,Kaiser Permanente,55939.58,2,0,No,N/A,Rehab Facility
47594,George,moore,1982-06-25,-999,Female,450-52-8016,478-217-2496,george.moore74@outlook.com,5260 Park Ln,Nashville,OH,87650,2022-02-05,2022-02-18,13,Elective,Cardiology,Dr. Jones,Coronary Artery Disease,COPD,Lisinopril,,161.3,51.2,19.7,170/102,61,38.9,89,109 mg/dL,4.75,12.3,BLUECROSS BLUESHIELD,21930.97,0,0,,N/A,Rehab Facility
88897,Brian,Torres,1974-12-07,43,F,624-96-6486,386-438-3042,brian.torres19@gmail.com,1135 Elm Way,Nashville,FL,30780,2018-04-26,2018-05-11,15,Emergency,Cardiology,Dr. Smith,Hypertension,Coronary Artery Disease,Hydrochlorothiazide,,168.9,65.2,22.9,116/100,89,38.4,98,265,2.97,,Medicare,68061.21,2,1,Former,Heavy,Rehab Facility
51252,Elizabeth,Robinson,1974-08-22,,F,458-24-3646,741-364-8580,elizabeth.robinson53@yahoo.com,1284 Elm Ln,Dallas,MI,65910,2021-01-20,2021-02-08,19,Routine,Pediatrics,Dr. Perez,Depression,Sepsis,Pantoprazole,Levothyroxine,189.7,93.1,25.9,162/104,91,38.8,97,308,5.89,5.6,Kaiser Permanente,78459.97,4,0,no,Moderate,Discharged to SNF
98607,Anthony,Rodriguez,,58,F,***-**-1710,(690) 534-5937,anthony.rodriguez67@hotmail.com,6764 Elm Blvd,El Paso,MI,35259,2018-07-15,2018-08-03,19,Urgent,Neurology,Dr. Martinez,Coronary Artery Disease,Heart Failure,Omeprazole,,159.8,93.9,36.8,172/109,84,36.6,88,298,1.47,10.2,Humana,24002.63,0,0,,Occasional,AMA
20339,Thomas,Hall,,58,FEMALE,134-41-4193,517-668-5796,thomas.hall24@hotmail.com,1766 Main Blvd,El Paso,OH,63290,2022-01-16,2022-02-03,18,Urgent,Oncology,Dr. Torres,Hyperlipidemia,Epilepsy,Prednisone,,,51.2,20.0,160/83,76,36.7,94,,7.5 ,10.7,Anthem,-1121.8,5,0,no,Heavy,Rehab Facility
65328,  Emily  ,Martinez,2005-06-23,-999,,786-64-8475,5732108168,emily.martinez55@yahoo.com,5692 Elm Ave,Oklahoma City,WI,72703,2019-10-16,2019-10-23,7,Transfer,General Medicine,Dr. Hernandez,Alzheimer's Disease,,Gabapentin,Losartan,156.0,79.1,32.5,117-73,-4,37.0,95,-999,,10.2,United Health,77414.87,0,0,yes,None,Transferred
64209,Carol,Green,1981/07/01,37,,907968686,8443516562,carol.green65@gmail.com,9811 Main Way,Jacksonville,IL,33577,2019-02-21,2019-03-20,27,Elective,General Medicine,Dr. Thomas,UTI,Anxiety Disorder,Hydrochlorothiazide,,,54.0,20.7,166/71,56,38.6,,344,7.04,,Humana,77805.51,4,0,Unknown,Occasional,Discharged to SNF
PT-73534,Michael,Nguyen,1996-06-15,,F,286-30-1351,5694963451,michael.nguyen19@gmail.com,5252 Pine Ln,Columbus,PA,59241,2020-07-12,2020-08-01,20,Urgent,Cardiology,Dr. Martin,Appendicitis,Atrial Fibrillation,Losartan,Metformin,158.0,72.1,,104/91,72,38.0,94,200,2.37,9.0,Cigna,17599.14,5,1,0,,AMA
96236,Mark,young,1968-05-25,,F,842-30-3472,8064922917,mark.young10@hotmail.com,2485 Hill Blvd,New York,OH,63806,2022-08-24,2022-09-01,8,Routine,Psychiatry,Dr. Campbell,Anxiety Disorder,Epilepsy,Prednisone,,157.7,122.5,49.3,92/86,101,,100,138,0.71,7.3,MEDICARE,56977.69,3,0,no,N/A,Discharged to SNF
94196,steven,Nelson,07/06/1955,63,M,650-17-7380,516-512-3188,steven.nelson87@gmail.com,2911 Hill Ln,Columbus,KY,15581-0000,2018-11-09,2018-11-21,12,Routine,ICU,Dr. Mitchell,Coronary Artery Disease,Stroke,Aspirin,,,118.9,39.2,,88,36.4,97,126,N/A,6.4,Kaiser Permanente,66066.79,2,1,no,N/A,Transferred
84495,timothy,Clark,1982-04-05,42 yrs,F,272-10-2022,2055564222,timothy.clark96@yahoo.com,8913 Washington Ave,San Diego,NJ,80679,2024-11-24,2024-12-09,15,Transfer,Cardiology,Dr. Thompson,Chronic Kidney Disease,,Lisinopril,,173.7,100.4,33.3,115/67,52,39.5 C,94,279,0.66,10.2,Cigna,75392.01,1,0,0,N/A,Rehab Facility
98234,Steven,Perez,1983-05-23,39,M,258949287,360-405-4696,steven.perez92@aol.com,8857 Lake Rd,Boston,FL,,2022-07-28,2022-08-26,29,Emergency,General Medicine,Dr. Young,Hyperlipidemia,COPD,Insulin Glargine,Atorvastatin,193.4,122.6,32.8,141/71,63,38.2,100,125,0.51,N/A,Kaiser Permanente,60346.88,4,0,N,None,AMA
64919,Elizabeth,Mitchell,2002-02-24,19,M,431674344,5158319310,elizabeth.mitchell76@aol.com,3663 Hill Blvd,Jacksonville,NJ,31300,2021-05-09,2021-05-21,12,Routine,Psychiatry,Dr. Clark,Migraine,Appendicitis,Metformin,Sertraline,187.0,57.8,16.5,137/104,101,39.1,97,251,4.81,4.8,Centene,2399.12,1,1,N,,Discharged to SNF
49618,Betty,Campbell,1981-02-12,42,M,132-30-7528,342-669-1640,betty.campbell51@outlook.com,1003 Main Way,Oklahoma City,MO,,2023-10-27,2023-11-17,21,Transfer,Orthopedics,Dr. Nelson,Pneumonia,,Pantoprazole,Furosemide,163.2,94.7,5.9,N/A,115,39.5,93,,1.39,12.0,Cigna,546.03,4,0,Yes,Moderate,Deceased
98974,Daniel,Harris,1993-07-05,28,F,769-25-9696,6833657790,DANIEL.HARRIS83@GMAIL.COM,3344 Washington Blvd,El Paso,FL,14093,2021-12-28,2022-01-18,21,Emergency,General Medicine,Dr. Moore,Epilepsy,,Albuterol,,N/A,93.1,35.6,159/102,87,38.3,96,315 mg/dL,7.35,12.2,Humana,11614.01,2,0,Unknown,Moderate,AMA
53487,Karen,Walker,1966-06-16,56,F,950-20-3247,494-541-6696,karen.walker28@gmail.com,9764 Main St,Baltimore,SC,31787,2022-12-06,2022-12-02,-4,Elective,General Medicine,Dr. Young,Alzheimer's Disease,,Omeprazole,Atorvastatin,163.0,111.8,42.1,118/98,71,39.3,91,343,2.19,4.1,MEDICARE,20512.01,0,0,Former,Heavy,Rehab Facility
18724,Jennifer,Taylor,1997-02-14,,F,572-25-6839,(794) 507-8527,jennifer.taylor26@hotmail.com,9881 Cedar St,Albuquerque,OK,479XX,2018-07-13,2018-07-25,12,Emergency,Orthopedics,Dr. Thomas,Anxiety Disorder,,Clopidogrel,Albuterol,162.1,64.6,24.6,,88,38.1,99,,1.34,11.1,Anthem,18901.84,1,0,Unknown,,Rehab Facility
52823,Steven,Brown,1960-04-24,63,M,507-85-2069,(517) 429-4439,steven.brown51@yahoo.com,4210 Washington Rd,Nashville,WI,87025,2023-05-31,2023-06-26,26,Emergency,Surgery,Dr. Hill,Hypothyroidism,,Levothyroxine,,188.9,75.3,21.1,114/78,98,38.9,95,263,7.5,9.3,Centene,67280.06,4,1,0,Moderate,Home
97817,DEBORAH,Young,1955-04-25,69,F,778-90-2212,340-506-9664,DEBORAH.YOUNG70@YAHOO.COM,7404 Oak Dr,Tucson,WI,,2024-04-17,2024-05-17,30,Routine,Surgery,Dr. Sanchez,Hypertension,Parkinson's Disease,Prednisone,Gabapentin,175.7,109.1,35.3,156/107,56,36.3,99,306,,9.5,Humana,67661.03,2,0,0,None,Discharged to SNF
85085,Barbara,Scott,1981-12-26,42,female,956956216,(399) 329-7464,NA,9577 Oak St,Dallas,MD,25972,2024-06-21,2024-06-23,2,Routine,Psychiatry,Dr. Brown,Hyperlipidemia,Pneumonia,Omeprazole,Aspirin,176.3,63.8,20.5,101/100,90,38.2,88,-999,7.71,4.1,Kaiser Permanente,30037.97,1,0,0,Moderate,Home
88588,Paul,Lee,1995-07-03,,F,218-22-7223,4974527437,PAUL.LEE87@AOL.COM,8325 Cedar Dr,Philadelphia,MN,15582,2018-09-05,2018-09-02,-3,Routine,Emergency,Dr. Thomas,Coronary Artery Disease,,Metformin,Pantoprazole,178.5,69.8,21.9,101/101,99,37.0,95,165,3.18,11.1,Medicaid,84726.94,0,1,no,Occasional,Home
00014911,Ashley,clark,1983-12-30,36,M,689-62-1735,628-707-7588,ashley.clark34@aol.com,59 Hill Ave,Tucson,SC,,2020-05-26,2020-05-27,1,Elective,Surgery,Dr. Mitchell,COPD,Parkinson's Disease,Gabapentin,Clopidogrel,N/A,88.3,24.0,171/76,108,39.0,91,232,6.46,12.3,Kaiser Permanente,64246.7,1,0,1,Occasional,Transferred
76487,,Sanchez,,51,F,230-60-3183,557-470-3733,susan.sanchez6hotmail.com,2792 Cedar St,Milwaukee,CO,18889,2023-09-29,2023-10-07,8,Emergency,General Medicine,Dr. Hall,Sepsis,,Furosemide,,170.2,N/A,39.9,N/A,64,37.4,96,284,7.77,5.7,Humana,64547.78,1,0,,N/A,Rehab Facility
43522,KAREN,Martinez,1955-12-02,,Female,***-**-7250,420-251-8780,karen.martinez2@yahoo.com,2783 Main Ave,Indianapolis,WA,815XX,2022-03-09,2022-03-12,3,Urgent,ICU,Dr. Wright,Parkinson's Disease,,Amoxicillin,,161.9,120.7,46.0,117/71,63,38.5,88 %,N/A,2.79,8.7,Medicaid,61461.82,1,0,,None,Discharged to SNF
76757,Christopher,Rivera,1952/10/14,67,F,248-38-5940,500-334-4009,,253 Maple Blvd,Columbus,CO,22169-0000,2020-01-31,2020-01-28,-3,Emergency,Pediatrics,Dr. Martin,COPD,,Prednisone,,185.7,129.9,37.7,111/95,58,36.0,92,226,2.34,4.5,United Health,81142.56,0,0,1,Heavy,Deceased
PT-55974,CHRISTOPHER,Wright,1949/06/27,69,M,626-96-7902,329-419-8595,christopher.wright49@gmail.com,4412 Pine Dr,Seattle,IN,11267,2019-03-12,2019-03-31,19,Emergency,Pediatrics,Dr. Flores,Obesity,,Albuterol,,169.3,119.9,41.8,179/78,118,37.0,96,289,6.43,12.2,Aetna,83032.9,5,1,,Occasional,AMA
76082,Barbara,rivera,1976-10-20,44,M,661-76-7175,454-498-7607,barbara.rivera59@yahoo.com,80 Main Ln,Oklahoma City,FL,87823,2021-07-28,2021-08-06,9,Emergency,Psychiatry,Dr. Carter,Stroke,Parkinson's Disease,Prednisone,Amlodipine,194.9,61.9,16.3,177/107,51,37.3,91,181,0.51,4.2,Medicaid,-320.77,2,0,Unknown,Occasional,AMA
72918,Kimberly,allen,1942/01/25,,Unknown,244-83-6063,353-218-4098,kimberly.allen82@hotmail.com,5948 Cedar Blvd,Houston,CA,97127,2024-09-10,2024-10-07,27,Urgent,Psychiatry,Dr. Rivera,Parkinson's Disease,,Warfarin,,161.2,N/A,21.2,121/88,62,36.3,89,259,5.71,-999,Medicaid,80221.49,3,0,no,Heavy,Transferred
28446,william,  Robinson  ,,N/A,Male,242-80-6439,309-762-2903,william.robinson88@outlook.com,5364 Elm Ln,San Antonio,CO,19102,2020-12-09,2021-01-01,23,Urgent,ICU,Dr. Johnson,Hypertension,,Hydrochlorothiazide,,166.1,,N/A,,-1,36.3,97,,7.94,9.0,Medicare,51336.47,0,0,Yes,None,AMA
43888,Mark,Clark,1967-05-28,52,M,340-54-7911,285-702-7714,mark.clark69@yahoo.com,1664 Maple Way,Memphis,NJ,31388,2019-12-29,2020-01-27,29,Routine,ICU,Dr. Martinez,Anemia,COPD,Hydrochlorothiazide,,163.5,115.1,6.9,75/132,113,39.2,91,,4.19,N/A,Medicaid,72097.19,0,1,Former,Moderate,Transferred
75614,SUSAN,Martin,1951-04-07,69,MALE,904-32-1281,609-875-5528,susan.martin37gmail.com,8079 Cedar Ln,Boston,FL,26216,2020-08-21,2020-09-01,11,Transfer,Surgery,Dr. Allen,Pneumonia,,Omeprazole,,168.9,107.8,37.8,109/67,93,37.7,92,252,1.73,6.3,Cigna,26418.09,0,0,Former,N/A,Transferred
25527,Jessica,Young,1987-05-11,35,M,133114438,(504) 686-2913,NA,9662 Park Way,Phoenix,AL,75061,2022-10-03,2022-10-04,1,Transfer,Neurology,Dr. Nguyen,Appendicitis,Type 2 Diabetes,Amlodipine,Hydrochlorothiazide,182.8,119.1,35.6,,75,37.8,97,95,1.1,,,83121.51,0,0,Unknown,Moderate,Transferred
71339,DOROTHY,Hall,1950-01-16,72,M,332-15-8330,000-000-0000,dorothy.hall1@yahoo.com,8996 Elm Way,Los Angeles,MO,475XX,2022-08-29,2022-09-02,4,Routine,Oncology,Dr. Davis,Osteoarthritis,Stroke,Lisinopril,,171.1,116.0,39.6,115/103,99,38.0,89,344,1.98,7.0,Cigna,67965.02,2,0,N,,Discharged to SNF
28617,Robert,Smith,1976-06-22,44,F,691275727,754-499-9247,robert.smith9@yahoo.com,1756 Washington Ln,Austin,CA,13091,2021-05-06,2021-06-02,27,Transfer,Pediatrics,Dr. Sanchez,Asthma,Anxiety Disorder,Albuterol,,159.8,75.9,29.7,173/93,70,36.8,99,127,5.15,11.8,Aetna,32361.32,0,0,yes,Occasional,AMA
54166,Mark,Young,1952-04-10,71,F,572-30-4720,N/A,mark.young20@hotmail.com,6059 Pine Dr,Memphis,AZ,48367,2024-02-15,2024-03-11,25,Transfer,Neurology,Dr. White,Parkinson's Disease,Heart Failure,Lisinopril,,156.0,,39.2,153/92,96,37.5,98,93,6.22,11.3,BLUECROSS BLUESHIELD,39428.52,3,0,N,Moderate,AMA
83744,Mark,Lopez,2001-06-23,,F,661-61-8796,627-908-3266,mark.lopez46@aol.com,8668 Washington Rd,Albuquerque,OH,26433-0000,2023-12-04,2023-12-17,13,Routine,Orthopedics,Dr. Lopez,Stroke,Sepsis,Lisinopril,,170.2,81.4,N/A,147/101,76,39.8,99,175,7.57,5.9,Humana,44187.55,5,0,Yes,N/A,Deceased
63935,Thomas,  Hernandez  ,1981-07-27,42,F,161-32-3874,8583508899,thomas.hernandez14@gmail.com,6079 Park Dr,Indianapolis,OR,19831,2023-08-10,2023-09-02,23,Urgent,Pediatrics,Dr. Moore,Sepsis,,Aspirin,,176.4,118.3,38.0,157/76,73,39.4,,136,3.92,5.9,Humana,13818.44,1,0,0,Heavy,Home
74940,Timothy,  Johnson  ,1946-05-30,76 yrs,M,386-58-4667,315-651-3619,TIMOTHY.JOHNSON73@HOTMAIL.COM,9097 Main Ln,Dallas,AZ,68143,2023-01-20,2023-02-04,15,Transfer,Emergency,Dr. Miller,Hyperlipidemia,Type 2 Diabetes,Hydrochlorothiazide,Levothyroxine,153.6,123.5,52.3,95/81,54,36.8,,281,6.76,5.7,United Health,74942.51,2,0,,Occasional,Deceased
32497,  Donna  ,MITCHELL,,180,F,832-23-3814,809-247-3718,donna.mitchell24gmail.com,4904 Cedar Ln,Baltimore,LA,58680,2020-04-21,2020-05-10,19,Elective,Orthopedics,Dr. Lopez,Type 2 Diabetes,,Pantoprazole,Lisinopril,150.0,118.0,52.4,90/86,96,,88,156,0.83,4.1,United Health,76444.57,4,0,Yes,Occasional,Discharged to SNF
37282,DAVID,  Nguyen  ,1954-07-21,66,F,158-66-6461,N/A,david.nguyen41@aol.com,925 Oak Ave,Philadelphia,WI,88793,2021-04-21,2021-05-19,28,Emergency,Oncology,Dr. Hill,Hyperlipidemia,Rheumatoid Arthritis,Losartan,,N/A,47.3,13.6,N/A,66,39.2,100,208 mg/dL,1.18,11.9,Centene,31908.25,3,0,no,N/A,AMA
60213,Deborah,  Anderson  ,1995-09-11,146,M,439-55-1162,525-296-5438,DEBORAH.ANDERSON27@YAHOO.COM,1722 Pine Ave,El Paso,MD,23155,2022-10-10,2022-10-14,4,Elective,Pediatrics,Dr. Rodriguez,Migraine,Stroke,Insulin Glargine,,157.1,,43.8,124/80,,36.7,89,102,3.15,6.1,United Health,22548.44,4,0,Former,None,Transferred
87189,Sandra,Rivera,1972-02-11,52 yrs,F,547-71-3211,(614) 376-1294,sandra.rivera95@aol.com,2054 Hill Way,San Francisco,WA,44881,2024-12-04,2024-12-06,2,Urgent,Neurology,Dr. Wright,COPD,Atrial Fibrillation,Levothyroxine,Atorvastatin,162.4,120.1,,154/110,117 bpm,39.3 C,96,N/A,7.79,6.9 %,UNITED HEALTH,47435.45,2,0,Former,Moderate,Home
11762,Betty,Smith,2002-03-24,20,F,176162382,788-424-5024,betty.smith48@yahoo.com,2204 Maple Blvd,San Antonio,WI,80614,2022-12-22,2022-12-24,2,Elective,General Medicine,Dr. Nelson,Anemia,,Prednisone,,190.1,115.4,31.9,,73,39.3,98 %,90,N/A,6.1,Medicaid,82050.15,0,0,Yes,Moderate,AMA
39220,thomas,Jackson,1957/10/13,64 yrs,M,497-76-6931,000-000-0000,thomas.jackson55@yahoo.com,2951 Hill St,Austin,WI,42900,2022-08-08,2022-08-03,-5,Emergency,Psychiatry,Dr. Flores,Obesity,Asthma,Aspirin,,163.5 cm,124.8,46.7,139/82,86,39.0,95,161,3.98,,Aetna,43729.95,0,0,,Occasional,AMA
48459,Sarah,Hall,1952-04-10,70,F,278-21-7403,943-485-4841,sarah.hall42@aol.com,533 Hill Way,Baltimore,CA,89089,2022-09-09,2022-09-27,18,Routine,Surgery,Dr. Taylor,Hyperlipidemia,Asthma,Gabapentin,Lisinopril,173.2,107.4,35.8,173/60,50,36.9,93,230,,12.5,Medicaid,62779.81,2,0,no,Occasional,Deceased
21420,DONALD,Hall,1991-04-01,27,M,333-41-8277,473-635-9342,donald.hall32@yahoo.com,7210 Cedar St,San Francisco,WA,13545,2018-05-18,2018-05-20,2,Transfer,Pediatrics,Dr. Roberts,Rheumatoid Arthritis,Chronic Kidney Disease,Pantoprazole,Metoprolol,154.9,111.1,46.3,95/104,-3,37.5 C,100,289,0.75,12.1,Medicaid,35171.42,2,0,No,,Rehab Facility
13154,Karen,Torres,1968-12-11,49,M,291-17-2142,611-981-3668,karen.torres74@gmail.com,9507 Hill Ave,Louisville,OH,722XX,2018-03-31,2018-04-28,28,Urgent,Orthopedics,Dr. Robinson,Parkinson's Disease,Sepsis,Atorvastatin,Prednisone,155.3,83.7,34.7,161/87,59,N/A,99,296,0.72,7.5,Medicare,10639.83,4,0,No,Heavy,Discharged to SNF
12526,Joshua,Lopez,1977-07-19,45,M,155-99-3403,910-894-2234,joshua.lopez60aol.com,8225 Main Dr,San Francisco,AZ,24633,2023-01-16,2023-01-17,1,Emergency,ICU,Dr. Adams,Appendicitis,Appendicitis,Gabapentin,Amlodipine,186.9,82.3,5.8,167/93,84,,,212,,6.2,Centene,73482.43,1,1,no,,Home
